[0, 1, 69, 137, 215]
[0, 1, 69, 138, 215]
[0, 1, 70, 137, 215]
[0, 1, 70, 138, 215]
[0, 1, 71, 137, 215]
[0, 1, 71, 138, 215]
[0, 1, 72, 137, 215]
[0, 1, 72, 138, 215]
[0, 1, 73, 137, 215]
[0, 1, 73, 138, 215]
[0, 1, 74, 137, 215]
[0, 1, 74, 138, 215]
[0, 1, 75, 137, 215]
[0, 1, 75, 138, 215]
[0, 1, 76, 137, 215]
[0, 1, 76, 138, 215]
[0, 1, 76, 139, 215]
[0, 1, 77, 137, 215]
[0, 1, 77, 138, 215]
[0, 1, 77, 139, 215]
[0, 1, 77, 140, 215]
[0, 1, 78, 137, 215]
[0, 1, 78, 138, 215]
[0, 1, 78, 139, 215]
[0, 1, 78, 140, 215]
[0, 1, 78, 141, 215]
[0, 1, 79, 137, 215]
[0, 1, 79, 138, 215]
[0, 1, 79, 139, 215]
[0, 1, 79, 140, 215]
[0, 1, 79, 141, 215]
[0, 1, 79, 142, 215]
[0, 1, 80, 137, 215]
[0, 1, 80, 138, 215]
[0, 1, 80, 139, 215]
[0, 1, 80, 140, 215]
[0, 1, 80, 141, 215]
[0, 1, 80, 142, 215]
[0, 1, 80, 143, 215]
[0, 1, 80, 144, 215]
[0, 1, 81, 137, 215]
[0, 1, 81, 138, 215]
[0, 1, 81, 139, 215]
[0, 1, 81, 140, 215]
[0, 1, 81, 141, 215]
[0, 1, 81, 142, 215]
[0, 1, 81, 143, 215]
[0, 1, 81, 144, 215]
[0, 1, 82, 137, 215]
[0, 1, 82, 138, 215]
[0, 1, 82, 139, 215]
[0, 1, 82, 140, 215]
[0, 1, 82, 141, 215]
[0, 1, 82, 142, 215]
[0, 1, 82, 143, 215]
[0, 1, 82, 144, 215]
[0, 1, 83, 137, 215]
[0, 1, 83, 138, 215]
[0, 1, 83, 139, 215]
[0, 1, 83, 140, 215]
[0, 1, 83, 141, 215]
[0, 1, 83, 142, 215]
[0, 1, 83, 143, 215]
[0, 1, 83, 144, 215]
[0, 1, 84, 137, 215]
[0, 1, 84, 138, 215]
[0, 1, 84, 139, 215]
[0, 1, 84, 140, 215]
[0, 1, 84, 141, 215]
[0, 1, 84, 142, 215]
[0, 1, 84, 143, 215]
[0, 1, 84, 144, 215]
[0, 1, 84, 145, 215]
[0, 1, 85, 137, 215]
[0, 1, 85, 138, 215]
[0, 1, 85, 139, 215]
[0, 1, 85, 140, 215]
[0, 1, 85, 141, 215]
[0, 1, 85, 142, 215]
[0, 1, 85, 143, 215]
[0, 1, 85, 144, 215]
[0, 1, 85, 145, 215]
[0, 1, 86, 137, 215]
[0, 1, 86, 138, 215]
[0, 1, 86, 139, 215]
[0, 1, 86, 140, 215]
[0, 1, 86, 141, 215]
[0, 1, 86, 142, 215]
[0, 1, 86, 143, 215]
[0, 1, 86, 144, 215]
[0, 1, 87, 137, 215]
[0, 1, 87, 138, 215]
[0, 1, 87, 139, 215]
[0, 1, 87, 140, 215]
[0, 1, 87, 141, 215]
[0, 1, 87, 142, 215]
[0, 1, 87, 143, 215]
[0, 1, 87, 144, 215]
[0, 1, 87, 145, 215]
[0, 1, 87, 146, 215]
[0, 1, 87, 147, 215]
[0, 1, 88, 137, 215]
[0, 1, 88, 138, 215]
[0, 1, 88, 139, 215]
[0, 1, 88, 140, 215]
[0, 1, 88, 141, 215]
[0, 1, 88, 142, 215]
[0, 1, 88, 143, 215]
[0, 1, 88, 144, 215]
[0, 1, 88, 145, 215]
[0, 1, 88, 146, 215]
[0, 1, 88, 147, 215]
[0, 1, 89, 137, 215]
[0, 1, 89, 138, 215]
[0, 1, 89, 139, 215]
[0, 1, 89, 140, 215]
[0, 1, 89, 141, 215]
[0, 1, 89, 142, 215]
[0, 1, 89, 143, 215]
[0, 1, 89, 144, 215]
[0, 1, 89, 145, 215]
[0, 1, 89, 146, 215]
[0, 1, 89, 147, 215]
[0, 1, 89, 148, 215]
[0, 1, 90, 137, 215]
[0, 1, 90, 138, 215]
[0, 1, 90, 139, 215]
[0, 1, 90, 140, 215]
[0, 1, 90, 141, 215]
[0, 1, 90, 142, 215]
[0, 1, 90, 143, 215]
