name,callsign,lat1,lat2,lat3,latNS,long1,long2,long3,longEW,city,state,country,access,month,year,control_tower,FSJA,FS100,SSJA,SS100,PSJA,PS100
Adak Airport,PADK,51,53,00.8980,N,176,38,32.9360,W, Adak Island, Alaska, USA ,Open to the public,04,1949,no,na,na,na,na,na,na
Akhiok Airport,PAKH,56,56,19.2870,N,154,10,57.2000,W, Akhiok, Alaska, USA ,Open to the public,11,1979,no,na,na,na,na,na,na
Akiachak Airport,PFZK,60,54,49.7150,N,161,29,35.9850,W, Akiachak, Alaska, USA ,Open to the public,01,1968,no,na,na,na,na,na,na
Akiak Airport,PFAK,60,54,10.4300,N,161,13,50.1000,W, Akiak, Alaska, USA ,Open to the public,07,1966,no,na,na,na,na,na,na
Akutan Airport,PAUT,54,08,40.6000,N,165,36,14.7900,W, Akutan, Alaska, USA ,Open to the public,07,2012,no,na,na,na,na,na,na
Alakanuk Airport,PAUK,62,40,59.0000,N,164,43,19.9000,W, Alakanuk, Alaska, USA ,Open to the public,na,na,no,na,na,na,na,na,na
Aleknagik New Airport,5A8,59,16,57.2000,N,158,37,04.3200,W, Aleknagik, Alaska, USA ,Open to the public,12,1982,no,na,na,na,na,na,na
Tripod Airport,Z25,59,15,47.3250,N,158,33,27.9190,W, Aleknagik, Alaska, USA ,Open to the public,01,1966,no,na,na,na,na,na,na
Allakaket Airport,PFAL,66,33,06.6000,N,152,37,19.8000,W, Allakaket, Alaska, USA ,Open to the public,10,1999,no,na,na,na,na,na,na
Ambler Airport,PAFM,67,06,22.3220,N,157,51,25.7610,W, Ambler, Alaska, USA ,Open to the public,na,na,no,na,na,na,na,na,na
American Creek Airport,80A,65,06,14.3350,N,151,10,38.0400,W, American Creek, Alaska, USA ,Open to the public,08,1958,no,na,na,na,na,na,na
Anaktuvuk Pass Airport,PAKP,68,08,01.0000,N,151,44,36.0000,W, Anaktuvuk Pass, Alaska, USA ,Open to the public,08,1963,no,na,na,na,na,na,na
Ted Stevens Anchorage International Airport,PANC,61,10,26.7050,N,149,59,53.2950,W, Anchorage, Alaska, USA ,Open to the public,11,1951,yes,8.10,5.00,na,na,na,na
Merrill Field Airport,PAMR,61,12,48.7670,N,149,50,40.9540,W, Anchorage, Alaska, USA ,Open to the public,05,1947,yes,na,na,7.60,na,na,na
Lake Hood Airport,PALH,61,11,11.9011,N,149,57,55.4171,W, Anchorage, Alaska, USA ,Open to the public,06,1947,yes,8.10,5.00,na,na,na,na
Bold Airport,A13,61,20,28.8200,N,148,59,55.9700,W, Anchorage, Alaska, USA ,Open to the public,08,1990,no,na,na,na,na,na,na
Tischner Air Airport,2AN,64,15,16.2200,N,149,11,31.4800,W, Anderson, Alaska, USA ,Open to the public,02,2023,no,na,na,na,na,na,na
Aniak Airport,PANI,61,34,53.0590,N,159,32,43.0730,W, Aniak, Alaska, USA ,Open to the public,08,1947,no,na,na,10.56,na,na,na
Anvik Airport,PANV,62,38,50.4000,N,160,11,24.2000,W, Anvik, Alaska, USA ,Open to the public,06,1963,no,na,na,na,na,na,na
